doc,sentence
1,"data stewardsubway33,616 reviews-milford, ctsubway33,616 reviewsread what people are saying about working here."
1,"job detailsdescriptionjoin team subway®-with over 44,000 locations in 105 countries-we recently earned the distinction of the world’s largest restaurants chain and we’re still growing!"
1,we have a unique career opportunity in our milford connecticut office.
1,the data steward is responsible for the management and fitness of data elements - both the content and metadata.
1,"the data stewards is a specialist role that incorporates processes, policies, guidelines and responsibilities for administering subway digital’s consumer data in compliance with policy and/or regulatory obligations."
1,work within and beyond area of control to implement improvement approaches.
1,identifies data quality metrics and executes data quality audits to benchmark the state of data quality.
1,"monitors, tracks and reports ongoing data quality levels."
1,"responsibilities include but are not limited to:review customer records to minimize data duplication and invalid recordsrespond to project requests - aid with matching consumer master data capabilities to project requirementsmaintain documentation such as data element definitions, business rules relevant to customer data, appropriate use, origins and sources of authorityensure that customer data is protected against unauthorized access or changeensure that subway complies with privacy legislation relevant to the jurisdiction of the data subjectensure that the mdm platform is functioning properly and that subway is actively influencing the vendor’s roadmapwork with data governance team on trends regarding data quality and metricsexperience necessary for effective job performance:experience creating and using data models and data definitionsexperience with requirements gathering and analysisexperience implementing and enforcing data access control mechanismsexperience with improving data quality and resolving data deficienciesexperience with lifecycle management – developing, testing, documenting, implementing and maintaining system changesequal opportunity employer/protected veterans/individuals with disabilitiesthe contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant."
1,"however, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information."
1,subway - 17 days ago - save job - original jobapply nowapply on company sitesave this job
