doc,sentence
40,"master item data steward - supply chaincoopervision172 reviews-rochester, nycoopervision172 reviewsread what people are saying about working here."
40,"master item data steward - supply chain - vic0471descriptioncoopervision, a unit of the cooper companies, inc."
40,"(nyse:coo), is one of the world’s leading manufacturers of soft contact lenses and related products and services."
40,"the company produces a full array of monthly, two-week and 1-day lenses, all featuring advanced materials and optics."
40,"coopervision has a strong heritage of solving the toughest vision challenges such as astigmatism and presbyopia; and offers the most complete collection of spherical, toric and multifocal products available."
40,"through a combination of innovative products and focused practitioner support, the company brings a refreshing perspective to the marketplace, creating real advantages for customers and wearers."
40,"for more information, visit www.coopervision.com."
40,"job title: master data steward – supply chaindepartment: supplyjob summaryresponsible for the administration and maintenance of enterprise system item master data (from components to finished goods), and the execution of data governance policies and procedures."
40,"sets-up and maintains the master data in the erp systems and other supporting systems of material masters, advanced planning systems, future master data management systems, etc."
40,assists management in the execution of our global data management strategy.
40,"essential functions reviews, verifies codes and enters data from source materials into erp systems."
40,identifies and reconciles data input discrepancies.
40,extracts and complies information from databases to produce reports.
40,manages all necessary changes/updates to item master data as required.
40,"verifies entered data by reviewing, correcting, deleting, or reentering data; combining data from multiple systems when information is incomplete; purging files to eliminate duplication of data."
40,maintains data entry requirements by following data program techniques and procedures.
40,"manages the administration of data routing process (workflow) for item data, working with business users to ensure accuracy of information."
40,"assists in the definition of business processes that ensure the consistency, uniformity, and accuracy of global item data."
40,"updates item master data in erp, planning and master data management (mdm) systems in accordance with product launches, discontinuations and movements."
40,"creates and manages bill of materials (boms), routings, lead time, order quantity, etc. for any given product in the hierarchy."
40,communicates across other departments regarding new items implementations.
40,assists in continuous improvement efforts to streamline master data processes and entries.
40,other duties may be assigned.
40,"position qualificationsknowledge, skills and abilities microsoft office suite including intermediate level proficiency with excel ability to effectively prioritize and execute task, and meet project deadlines in a fast-paced, every changing environment."
40,analytical and problem solving skills.
40,ability to develop and make recommendations based on processes standards.
40,"self-starter, ability to work independently ability to understand and document processes perform to a high level of accuracy in all tasks detailed oriented and organized highly adaptable, flexible and willing to accept new ideas, processes and procedures knowledge of gs1 standards for global trade item number (upc)work environment normal office environment prolonged sitting in front of a computer exposure to manufacturing environmenteducation associate’s degree required in related field; or an equivalent combination of education and experience."
40,"experience minimum 3 years’ experience with data entry into systems (manually, excel spreadsheets and directly) previous experience with an advanced planning systems and master data management systems a plus previous experience with at least one erp system (baan, sap, etc.) desirableaffirmative action/equal opportunity employer."
40,minority/female/disability/veteranjob: supply chainprimary location: united states-new york-rochesterorganization: supply chainschedule: full-timeunposting date: ongoing:coopervision - 30+ days ago - save job - original jobapply nowapply on company sitesave this job
