doc,sentence
8,"product data quality stewardbose701 reviews-stow, mabose701 reviewsread what people are saying about working here."
8,"the product data quality steward will provide material master data support for all of ce, pro, aviation and wellness finished goods."
8,"this person will provide sap master data support and is accountable for managing, resolving, and preventing data problems that impact bose’s ability to conduct business effectively."
8,"this individual will work collaboratively with the data stewards, data custodians, npm’s, engineering and sme’s to solicit and compile requirements to ensure on time product execution."
8,"duties would includeaccurate and complete material master data within ecc, hybris and crmensuring timelines are adhered to by working with launch teamsdefining data quality metrics and standards •assist in all aspects of sap material master data throughout the end to end processanalyze data information and make best practice recommendations for functional requirementssolicit and compile requirements from key stakeholders to provide solutionsbose is an equal opportunity employer that is committed to inclusion and diversity."
8,"we evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, genetic information, national origin, age, disability, veteran status, or any other legally protected characteristics."
8,"for additional information, please review: (1) the eeo is the law poster (http://www.dol.gov/ofccp/regs/compliance/posters/pdf/ofccp_eeo_supplement_final_jrf_qa_508c.pdf); and (2) its supplements (http://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm)."
8,"please note, the company's pay transparency is available at http://www.dol.gov/ofccp/pdf/eo13665_prescribednondiscriminationpostinglanguage_jrfqa508c.pdf."
8,bose is committed to working with and providing reasonable accommodations to individuals with disabilities.
8,"if you need a reasonable accommodation because of a disability for any part of the application or employment process, please send an e-mail to wellbeing@bose.com and let us know the nature of your request and your contact information."
8,bose - 23 days ago - save job - original jobapply nowapply on company sitesave this job
