doc,sentence
3,"data stewarddocusign31 reviews-san francisco, ca 94105docusign31 reviewsread what people are saying about working here."
3,"sales data stewardsales & business development| seattle, washington | san francisco, californiachange the way customers and partners live and do business while helping them grow their top and bottomline with our transformative technology."
3,position summarycollaborate with key stakeholders to identify data opportunities within salesforce for firmographic data.
3,"as a data steward, you will not only be responsible for identifying the opportunities for data improvement but managing the clean up or adjustment of the data through both tools as well as hands on clean up in the system."
3,this position is an individual contributor role and reports to the sr.
3,"director, field operations."
3,"responsibilitiesperform recurring and ad hoc analyses to identify root causes of trend withinsales data setsprepare and present findings along with recommendations from each analysis to internal customersperform manual data clean up and preparation across different data sources in order to provide reportingidentify mass impact scenarios to clean up data more efficiently using tools like demandtools, sql, heroku, or alteryxproject manage large scale efforts to clean up data across systemswork cross functionally to drive comprehensive data quality within salesforcebasic qualificationsbachelor's degree or relevant experience in business analysis related rolepreferred qualificationssuperior analytical and technical aptitudeadvanced to intermediate knowledge in excel and other ms office suitesknowledge in advanced data tools such as sql, access, heroku, or alteryxself-motivated, highly collaborative, creative, goal-oriented and team-centricsuperior oral and written communication skillsattention to detail, excellent organizational skills, superior time management skillsability to work in a collegial fashion with peers in other organizational unitsability to work independently and problem solve in a rapidly changing and sometimes ambiguous environmentsales & business development @ docusignour technology is transforming the way our customers live their lives and do business."
3,our sales team is collaborating with customers across the globe to help them leverage our technology to change the way they do business.
3,our business development team is partnering with some of the largest most innovative companies in the world and in their industries to bring the power of docusign to more customers.
3,"whether you are selling to an individual or a large enterprise, you will apply your extensive knowledge of our product and strategic partnerships to help our customers grow their top and bottom line."
3,"about docusigndocusign® is changing how business gets done by empowering hundreds of thousands of customers and tens of millions of users in most countries around the world to sign, send and manage documents anytime, anywhere, on any device with confidence."
3,"docusign replaces printing, faxing, scanning and overnighting documents with the easiest, fastest, most trusted way to make every approval and decision digital."
3,"organizations of all sizes and industries are accelerating contracts, approvals and workflows with docusign's digital transaction management (dtm) platform and esignature solution."
3,docusign keeps life and business moving forward.
3,docusign is an equal opportunity employer.
3,"individuals seeking employment at docusign are considered without regards to race, ethnicity, color, age, sex, religion, national origin, ancestry, pregnancy, sexual orientation, gender identity, gender expression, genetic information, physical or mental disability, registered domestic partner status, caregiver status, marital status, veteran or military status, citizenship status, or any other legally protected category."
3,#li-dsdocusign - 16 days ago - save job - original jobapply nowapply on company sitesave this job
