doc,sentence
26,"data stewardally financial inc.602 reviews-charlotte, nc 28217ally financial inc.602 reviewsread what people are saying about working here."
26,position descriptionally invest is seeking an experienced data steward to implement and maintain an appropriate data governance program within the line of business.
26,"the role will be responsible for creating outputs, enforcing policies, and ensuring compliance necessary to ensure robust data quality."
26,"the role will require working across multiple business teams as well as integration with the analytics, data management and data engineering teams."
26,"job responsibilitiescapturing and documenting metadata data lineage, profiling and assessing data quality, assigning business and technical responsibilities for data ownership, and capturing business rulescreate routines for oversight of data environment, data procedures, and end-user reportingsupport data modeling and data management activitiesprovide project management support for broader analytics and data teamsqualifications3+ years of experience fulfilling the role of a data stewardability to work collaboratively with analysts, architects, modelers, business and technical teamsproficiency in sql for generating quality assessments and insight generationexperience working within a data warehouse team or reporting team as an analyst, modeler or data stewardexcellent communication skills with both business and technical audiencessubject matter knowledge of brokerage operations or financial servicesprior experience performing data modeling and/or data architecture in a data warehouse/bi initiativestrong project management skills to maintain calendar of necessary data management activitiesability to leverage multiple tools to create and maintain necessary data stewardship outputsally overviewally financial inc."
26,"(nyse: ally) is a leading digital financial services company and a top 25 u.s. financial holding company offering financial products for consumers, businesses, automotive dealers and corporate clients."
26,"ally's legacy dates back to 1919, and the company was redesigned in 2009 with a distinctive brand, innovative approach and relentless focus on its customers."
26,"ally has an award-winning online bank (member fdic), one of the largest full service auto finance operations in the country, a complementary auto-focused insurance business, a growing digital wealth management and online brokerage platform, and a trusted corporate finance business offering capital for equity sponsors and middle-market companies."
26,"business unit/enterprise functionally bank is a direct bank in the u.s. that offers a straightforward approach to banking with no minimum deposit required to open an account, no monthly maintenance fees and 24/7 live customer care."
26,"a subsidiary of ally financial inc. and member fdic, the bank offers online savings, interest checking, money market accounts, certificates, and ira plans and products."
26,"ally bank has been named ""best online bank"" for five of the past seven years by money® magazine."
26,total rewards informationally's compensation program offers market-competitive base pay and pay-for-performance incentives (bonuses) based on achieving personal and company goals.
26,"plus, we have a flexible paid-time-off program including time off for volunteer opportunities."
26,"ally's total rewards program is designed to enrich your life at work - and outside of it and includes:industry-leading 401k retirement savings plan with matching and company contributionswellness program encouraging healthy living with financial rewardsflexible health insurance options including dental and visionpre-tax health savings account with generous employer contributionspre-tax commuter benefitsother work-life integration benefits including parental and caregiver leave, adoption assistance, backup child and adult/elder day care program, child care discounts, tuition reimbursement, lifematters® employee assistance program, subsidized and discounted weight watchers® program and other employee discount programsally is an equal opportunity employerwe extend equal employment opportunities to qualified applicants and employees on an equal basis regardless of an individual's age, race, color, sex, religion, national origin, disability, sexual orientation, gender identity or expression, pregnancy status, marital status, military or veteran status, genetic disposition or any other reason protected by law."
26,#li-rs1ally financial - 17 days ago - save job - original jobapply nowapply on company sitesave this job
