doc,sentence
18,"kyc- remediation team (data steward)bnp paribas2,203 reviews-tempe, azcontractbnp paribas2,203 reviewsread what people are saying about working here."
18,what sets bank of the west apart from other banks is our team members–they embody the optimistic spirit of the west.
18,there is a spirit here that drives us to do more.
18,"our team of more than 10,000 employees is vital to the success ofour bank."
18,"they reflect our modern western values—straightforward, entrepreneurial and optimistic."
18,"we seek to createa corporate culture that fosters and rewards excellence, encourages creative thinking and respects diversity – anenvironment where team members are engaged, supportive of one another and enthusiastic about serving our customers."
18,"bank of the west offers the stability of a company that has a 135 year history and is part of bnp paribas, a europeanleader in global banking and financial services and one of the 6 strongest banks in the world."
18,"we offer opportunitiesacross our diverse business lines – retail banking, commercial banking, national finance, and wealth management."
18,"job description summaryresponsible for ensuring that the assigned business unit policies, procedures and practices align with bank of thewest 1st or 2nd line of defense operation risks and compliance requirements."
18,provides support tasks for continuousenhancements of the business line 1st line of defense set-up.
18,acts as a resource for level 1 questions and issuesfrom the branch network arising from procedures and customer requirements related to the bank's know your customerprogram and policies.
18,"essential job functionspartners with the assigned business group affected by changing laws, regulations or policies to ensure that appropriatechanges are implementedsupports the assigned business group to respond to regulatory / audit inquiries and assist with evidence gathering asrequested."
18,identify and report/escalate alerts on issues related to “know your customer” compliance.
18,implements established procedures/policies and ensures business unit compliance with 1st line of defense and bnpprequirements.
18,knowledgeable in industry best practices and systems.
18,"maintains current knowledge of related banking activities, operational risk management and regulatory compliancerequirements for financial institutions."
18,assists in developing and maintaining department policies and procedures in support of the bank's integratedoperational risk framework and/or industry best practices.
18,may assist with dispositioning of new accounts in the new customer on boarding process and preparation of newcustomer documentation for escalation to the customer acceptance committee.
18,facilitates communication internally with branches to collect required compliance documentation related to “know yourcustomer” and high risk customer types.
18,other job dutiesassists with the management of account closure process for kyc operations.
18,performs other duties as assigned.
18,equal employment opportunity policybank of the west is an equal opportunity employer and proud to provide equal employment opportunity to all job seekerswithout regard to any status protected by applicable law.
18,bank of the west is also an affirmative action employer -minority / female / disabled / veteran.
18,bank of the west will consider for employment qualified applicants with criminal histories pursuant to the san franciscofair chance ordinance subject to the requirements of all state and federal laws and regulations.
18,bnp paribas - 30+ days ago - save job - report job - original jobapply nowapply on company sitesave this job
