word,n
customer,10
data,6
master,6
maintains,5
ability,4
demonstrated,4
experience,4
animal,3
internal,3
mainframe,3
microsoft,3
related,3
reports,3
required,3
skills,3
updates,3
ad,2
benefits,2
business,2
communication,2
company,2
compiles,2
effective,2
ensure,2
evaluates,2
excel,2
file,2
files,2
functioning,2
health,2
henry,2
insurance,2
management,2
position,2
presentation,2
processes,2
program,2
projects,2
schein,2
status,2
strong,2
team,2
2,1
401,1
5,1
accommodated,1
accounts,1
accuracy,1
accurate,1
administration,1
advanced,1
age,1
agency,1
alignment,1
analyses,1
analytical,1
ancestry,1
applicants,1
assist,1
assistance,1
attention,1
attributes,1
bachelor’s,1
basis,1
beneficial,1
calculations,1
calls,1
citizenship,1
color,1
combination,1
commercial,1
commissions,1
communicates,1
compensation,1
comprehensive,1
conference,1
coordinates,1
coverage,1
creed,1
current,1
database,1
degree,1
dental,1
department,1
departments,1
description,1
desired,1
details,1
diploma,1
disability,1
discipline,1
discriminate,1
documentation,1
duties,1
education,1
educational,1
effectively,1
effectiveness,1
employees,1
employer,1
employment,1
enhance,1
equal,1
equivalent,1
evaluating,1
exclusively,1
executes,1
ged,1
gender,1
generous,1
hardship,1
hoc,1
id,1
ideas,1
identity,1
includes,1
independently,1
industry,1
information,1
inside,1
job,1
learn,1
learner,1
legally,1
life,1
limit,1
limits,1
lookups,1
maintaining,1
managing,1
manufacturers,1
marital,1
marketing,1
match,1
matching,1
medical,1
mind,1
minimum,1
mixed,1
monitors,1
national,1
newsletters,1
numerous,1
offers,1
office,1
officeexcelsummary,1
opportunity,1
oral,1
organizational,1
orientation,1
origin,1
outlook,1
ownership,1
package,1
paid,1
performs,1
pivot,1
powerpoint,1
powerpointmicrosoft,1
practice,1
preferred,1
prepares,1
presentations,1
prior,1
products,1
professionally,1
proficiency,1
programs,1
protected,1
purposes,1
quantitative,1
quickly,1
race,1
relay,1
religion,1
reporting,1
requested,1
requirements,1
sales,1
school,1
sell,1
sets,1
sex,1
sexual,1
share,1
similar,1
software,1
solving,1
sources,1
specific,1
strongly,1
supports,1
systems,1
tables,1
time,1
total,1
travel,1
type,1
undue,1
updated,1
updating,1
variety,1
vehicle,1
vendor,1
veteran,1
vision,1
word,1
written,1
