word,n
business,10
data,9
statistical,4
analytical,3
analytics,3
develops,3
methods,3
projects,3
science,3
analysis,2
approaches,2
audiences,2
complex,2
decision,2
degree,2
designs,2
experience,2
explain,2
findings,2
functions,2
implements,2
mathematical,2
multiple,2
objective,2
predictive,2
processes,2
support,2
unit,2
2,1
actionable,1
activities,1
adoption,1
advanced,1
algorithm,1
algorithms,1
amounts,1
analyses,1
analyze,1
answer,1
applies,1
apply,1
approach,1
assigned,1
bachelors,1
company's,1
components,1
computer,1
creates,1
culling,1
customer,1
design,1
detailed,1
determines,1
develop,1
documents,1
equivalent,1
executes,1
experiments,1
field,1
final,1
frames,1
gathering,1
impact,1
improve,1
including,1
initiatives,1
insights,1
intended,1
interpret,1
interprets,1
leading,1
leverage,1
management,1
manages,1
masters,1
materials,1
metrics,1
mining,1
mis,1
models,1
na,1
optimizing,1
performance,1
platforms,1
position,1
preferred,1
primary,1
processing,1
product,1
products,1
profiling,1
progressively,1
project,1
provide,1
qualifications,1
quantitative,1
questions,1
range,1
recommendations,1
related,1
required,1
requirements,1
responsibilities,1
results,1
retail,1
revenue,1
rigor,1
scientists,1
segmentation,1
set,1
sets,1
singular,1
solution,1
solutions,1
solves,1
special,1
survey,1
targeted,1
team,1
techniques,1
tools,1
typically,1
understand,1
varied,1
wide,1
