word,n
data,83
management,23
quality,21
experience,18
ghs,18
metadata,16
business,15
enterprise,14
geisinger,14
demonstrates,11
governance,11
preferred,11
required,10
contributes,8
healthcare,8
improvement,8
key,8
program,8
project,7
stewardship,7
skills,6
strategy,6
understanding,6
vision,6
health,5
process,5
steward,5
associate,4
certification,4
environment,4
including,4
information,4
maintain,4
procedures,4
responsibilities,4
support,4
system,4
tools,4
architecture,3
care,3
continuous,3
contribute,3
degree,3
dgo,3
glossary,3
include,3
intelligence,3
issues,3
knowledge,3
lead,3
materials,3
minimum,3
modeling,3
objectives,3
practices,3
projects,3
stakeholders,3
stewards,3
team,3
time,3
values,3
warehousing,3
000,2
1,2
ability,2
activities,2
advisory,2
aligned,2
analytical,2
applicants,2
benefits,2
central,2
clinical,2
community,2
continuously,2
create,2
defines,2
demonstrated,2
documents,2
domestic,2
ensure,2
excellence,2
family,2
field,2
functions,2
geisinger's,2
goals,2
identify,2
implements,2
increase,2
integration,2
lean,2
major,2
manage,2
manager,2
master,2
meet,2
methodologies,2
metrics,2
microsoft,2
monitors,2
office,2
operational,2
patients,2
policies,2
prefer,2
professional,2
profiling,2
records,2
reference,2
references,2
relevant,2
reliability,2
reports,2
repository,2
requirements,2
resolves,2
science,2
security,2
sigma,2
solutions,2
standards,2
strive,2
teams,2
training,2
willingness,2
13,1
2017,1
3,1
30,1
583,1
6,1
600,1
access,1
achieve,1
action,1
addition,1
advanced,1
affirmative,1
agile,1
align,1
alignment,1
altosoft,1
analysts,1
analytic,1
applicable,1
apply,1
approximately,1
articles,1
artifacts,1
assets,1
assists,1
atlanticare,1
atmosphere,1
award,1
awareness,1
baldridge,1
base,1
basic,1
basis,1
billing,1
biostatistics,1
brightest,1
build,1
building,1
businessobjects,1
campuses,1
candidate,1
caregivers,1
caring,1
cdmp,1
centers,1
certified,1
certifies,1
charles,1
claims,1
closely,1
collaborates,1
collaboration,1
collaboratively,1
colleagues,1
collegiality,1
commensurate,1
common,1
commonwealth,1
communication,1
communities,1
competencies,1
complex,1
component,1
comprise,1
comprised,1
computer,1
concepts,1
connect,1
consensus,1
consideration,1
considered,1
consistent,1
constantly,1
cooperation,1
coordinates,1
critical,1
cross,1
crystal,1
customer,1
customers,1
databases,1
datainformaticaproject,1
day,1
days,1
decisions,1
deep,1
delivered,1
dental,1
department,1
desired,1
developing,1
develops,1
director,1
disability,1
discriminated,1
division,1
domain,1
duties,1
educated,1
education,1
effectively,1
efforts,1
elements,1
employed,1
employees,1
employer,1
employment,1
enabling,1
encourage,1
encouraged,1
engineering,1
ensures,1
environments,1
epidemiology,1
equal,1
erwin,1
establish,1
evaluation,1
excel,1
exceptional,1
executing,1
experienced,1
external,1
facebook,1
facilitation,1
feasibility,1
fewer,1
financial,1
focus,1
found,1
framework,1
functional,1
group’s,1
hanson,1
hard,1
highly,1
hire,1
hiring,1
holy,1
hope,1
hospital,1
humbly,1
identifies,1
identifying,1
impacts,1
implementation,1
implementing,1
improve,1
improvementjob,1
improvements,1
increases,1
independently,1
individualcollaborates,1
industrial,1
industry,1
informatica,1
informatics,1
initiatives,1
innovation,1
innovative,1
instagram,1
integrate,1
intelligencemicrosoft,1
interacts,1
internal,1
interpersonal,1
investigates,1
issue,1
jersey,1
kindness,1
leaders,1
learning,1
led,1
level,1
lineage,1
linkedin,1
location,1
lower,1
maintains,1
malcolm,1
managed,1
managementcrystal,1
manages,1
managing,1
mathematical,1
mba,1
measurably,1
medicine,1
meeting,1
mentor,1
methodologybusiness,1
mha,1
million,1
minorities,1
mission,1
modeler,1
monitor,1
monitoring,1
mph,1
ms,1
msn,1
nation,1
national,1
nationally,1
northeast,1
offer,1
officeteradatatableaumicrosoft,1
operate,1
operations,1
opportunity,1
oracle,1
oral,1
orassociate’s,1
orbachelor's,1
org,1
organizational,1
partner,1
partners,1
pennsylvania,1
people,1
performance,1
performs,1
phd,1
physician,1
physicians,1
plan,1
planning,1
pmp,1
pmpproject,1
positions,1
possess,1
powerpoint,1
powerpointoraclemicrosoft,1
prepare,1
presentation,1
prioritization,1
privacy,1
proactively,1
processes,1
produced,1
professionals,1
proficient,1
profiler,1
programs,1
proposed,1
protected,1
publishes,1
purpose,1
qualifications,1
qualified,1
qualify,1
quantify,1
receive,1
recipient,1
recognized,1
redesign,1
regulations,1
related,1
relational,1
release,1
reportsbig,1
repositories,1
requirement,1
research,1
risks,1
salary,1
schedule,1
school,1
scorecards,1
seek,1
selection,1
senior,1
serves,1
service,1
share,1
sharepoint,1
soft,1
south,1
southern,1
spirit,1
statistical,1
status,1
students,1
substantive,1
substitute,1
suitably,1
suite,1
tableau,1
technical,1
technicaldemonstrates,1
techniques,1
technologies,1
technology,1
teradata,1
timely,1
title,1
tomorrow,1
tool,1
tracks,1
trains,1
treasure,1
treat,1
treated,1
trends,1
twitter,1
type,1
understand,1
user,1
veteran,1
visio,1
visit,1
waiver,1
warehousevisiocontinuous,1
women,1
word,1
wordsharepointdata,1
written,1
www,1
